Korrigiert?,Lied
✔️,Abends
✔️,Abends treten Elche
✔️,"Ach, Glöckelein"
❌,Ajde Jano
✔️,Ako umram
✔️,Greensleeves
✔️,Die Sandbank
✔️,Kaperfahrt
✔️,Männer mit Bärten
✔️,Leaving on a jetplane
✔️,Country Roads
✔️,Piratenhafen
❌,Amazing Grace
✔️,Kaschgai
✔️,Am Ural
✔️,Tschiree
✔️,Der Rabe
✔️,An den sechs vergangnen Tagen
✔️,An der Allee
✔️,"And’re, die das Land"
❌,Ghost Riders in the sky
✔️,Scarborough Fair
✔️,Whiskey in the jar
✔️,Holland
✔️,Auf vielen Straßen
✔️,Wölfe mitten im Mai
✔️,Banner
✔️,Black is the colour
❌,"Bleib stehen, alte Dampflok"
✔️,Triodimali
✔️,Bürger von Atlantis
✔️,"Burschen, Burschen"
✔️,"Mori séj, Szábina"
❌,Loch Lomond
✔️,Walk with the Wind
✔️,Dämmert von fern
✔️,Das Flaschenlied
❌,Der Faden
✔️,Finnischer Walzer
✔️,Fahren (Der Geist ist müd)
✔️,Der Herd ist rot
✔️,Kalle Theodor
❌,Der lang genug
✔️,Der Papagei
✔️,Lied aus dem fahrenden Zug
✔️,Wolfskanon
✔️,Die Moorhexe
✔️,Die Gedanken sind frei
✔️,Die Kraniche
✔️,Die Lappen hoch
✔️,Die Schluchten des Balkans
✔️,Hochzeit
✔️,Hymne til norge
✔️,Popellied
✔️,Les filles des forges
✔️,Dire-gelt
✔️,Kasanka
✔️,Sonnenschein und wilde Feste
✔️,Ist die Horte schon im Kommen
❌,Du schöner Leichtfuß
✔️,Eine Insel mit zwei Bergen
✔️,Julisonnenschein
✔️,Bella Ciao
❌,König der Kinder
✔️,Ein Hotdog unten am Hafen
✔️,Die Nutte
❌,"Einmal wieder, Kameraden"
✔️,Fahren (Endlich Frühling)
❌,Frühling (Endlich trocknet)
✔️,Endlos lang
❌,Es führt über den Main
✔️,Drei Kugeln
✔️,Es soll sich der Mensch
✔️,Laterne
❌,Es tropft von Helm und Säbel
✔️,Es war an einem Sommertag
✔️,So weit ist das Meer
✔️,Raxli Faxli
✔️,König von Thule
✔️,Anne Kaffeekanne
✔️,Nachtgeister
✔️,Botany Bay
✔️,Hyazinthen
✔️,"Fluck, der edle Drache"
❌,Frösche in der Nacht
✔️,Hoch im Norden
❌,Die letzten Goten
✔️,Gregor
❌,Gelbe Blätter
❌,Tod und Mediziner
✔️,Gospodar
❌,Graue Nebelschwaden
❌,Kawuras der Krebs
✔️,Another man’s cause
❌,Streets of London
✔️,Hallihallo
❌,Rock me momma
✔️,Bündische Vaganten
❌,Sound of Silence
✔️,"Heute hier, morgen dort"
❌,Meine Biber haben Fieber
✔️,An Land
✔️,Hier wächst kein Ahorn
✔️,Maienbaum
❌,Badibam
✔️,Das kleine Nilpferd
✔️,Ich find’ die Kohte nicht mehr
✔️,Marzipan
✔️,Ich kenne Europas Zonen
❌,Das Murmeltier
✔️,Und ganz doll mich
✔️,Zirkuslied
✔️,Bananas in my head
✔️,Helden deiner Träume
❌,Dust in the wind
✔️,Warpath
❌,John Kanaka
❌,Das Leben seid ihr
✔️,Abschied von der Meute
❌,Le Vagabond
✔️,Die Weber
✔️,Dirty old town
✔️,Die freie Republik
✔️,Drei rote Pfiffe
✔️,Ballade vom roten Haar
✔️,Back home in Derry
✔️,In dem dunklen Wald von Paganowo
✔️,Käpt’n Rondo
✔️,In der Stunde vor dem Angriff
✔️,"In die Sonne, die Ferne hinaus"
❌,Resolution
✔️,In Gori Kaseki
❌,Märchen
❌,The lion sleeps tonight
✔️,Eastern Rebellion Song
✔️,Black and Tans
❌,Verliebt in du
✔️,Tscherschenko
✔️,Sturm und Drang
✔️,Le Contrebandier
✔️,Landrattenschar
✔️,Piratenlied (Klingt ein Lied)
✔️,Unter dem Pflaster
✔️,Komm lauf mit uns hinaus
✔️,Colonel Hathis Marsch
✔️,Lasst die Finger springen
✔️,Leise weht der Wind
✔️,Leuchtet die See
❌,Lo yisa goy
❌,V’Yashvu
✔️,"Mädchen, Männer, Meister"
❌,"Mädel, lass zum Tanz dich führen"
❌,Makedonsko 
❌,Manchmal des Nachts
✔️,Lied des Käpt’ns
✔️,Man sagt
✔️,Irish Blessing
❌,Landgang
❌,Mein kleines Boot
✔️,Mit der Mütze unterm Arm
✔️,Muro šavo
❌,Dead and Gone
✔️,Avalon
✔️,Nachts auf dem Dorfplatz
✔️,Nachts steht Hunger
❌,Nane tsóra
✔️,Star of the county down
✔️,Nehmt Abschied Brüder
✔️,Ziehharmonika
✔️,Santiano
❌,Abschied im Herbstwind
✔️,"Nordwärts, nordwärts"
❌,Das Bürgerlied
❌,On my honor
✔️,Titanic
✔️,Probier’s mal mit Gemütlichkeit
✔️,Måken
✔️,Roter Mond
✔️,Roter Wein im Becher
❌,Sag mir wo die Blumen sind
✔️,"Marktfrauen, Kinder und Troubadoure"
✔️,Schilf bleicht
✔️,Schlaflied für Anne
❌,Schließ Aug’ und Ohr
✔️,Aliquando
✔️,Trinklied vorm Abgang
❌,Kurdistan
✔️,Geburtstagslied
✔️,Jasmin
✔️,Pfingsten für zwei alte Leute
✔️,Das Schiff im Nebel
❌,Und sie lachte
✔️,Schoschonen
❌,Edelweißpiraten
❌,Blinde Katharina
❌,Trommellied der Geusen
✔️,Der Apfel
✔️,Aufbruch nach gestern
✔️,Herbstabend
✔️,Der Pfahl
✔️,Das Spielmobil
✔️,Wüstenwind
✔️,Der Wagen
❌,Humor
✔️,Der kleine Troll
✔️,I gorgona
✔️,Stinkfaul
✔️,Straßen auf und Straßen ab
❌,Im Kreisverkehr
❌,Summt der Regen
✔️,Tanzen die Dohlen
❌,Bonnie ship the diamond
✔️,From Clare to here
❌,Wellerman
✔️,Tief im Busch
✔️,Karl der Käfer
✔️,Tod mach’s mir leicht
✔️,Ride On
✔️,Di grine Kusine
❌,Vihma Loits
✔️,Tanzlied der Spielleute
✔️, Über meiner Heimat
✔️,Lasst uns singen
✔️,Einheitsfront
✔️,Balkanlied
✔️,Unter den Toren
✔️,Markttag  
(✔️),Viva la feria
✔️,Raubritter
✔️,Jalava
✔️,Regenbogenlied
❌,Ein Leben als Vagabund
❌,Batka Ataman
✔️,Wach nun auf
❌,Eala frya fresena
✔️,Warum zögerst du noch
✔️,Ein Krampenschlag vor Tag
✔️,Tanzlied des Totenschiffs
❌,Was helfen mir tausend Dukaten
✔️,Piet
✔️,Das Stundenglas
✔️,Welle wogte
✔️,The Colliery Gate
✔️,The Miners Song 
✔️,The Road
✔️,Wenn der Abend naht
✔️,Frühling (Wenn der Frühling)
❌,De Fresenhof
❌,Wenn die Bürger schlafen gehen
✔️,Der Klabautermann
✔️,Nacht in Portugal
✔️,Wenn hell die gold’ne Sonne lacht
✔️,Brot und Rosen
❌,Santy Anno
✔️,Dracula Rock
✔️,Both sides the tweed
❌,"Johnny, I hardly knew ye"
✔️,Wintererwachen
✔️,Insh Allah
✔️,Oh Scheiße
✔️,Wilde Reiter
✔️,Piratenbraut
✔️,Über den Wolken
✔️,Wir blieben gern
✔️,"Wir drei, wir gehen jetzt auf die Walze"
✔️,Wir fahren übers weite Meer
✔️,Wir kamen einst von Piemont
❌,Johnnys Spelunke
✔️,Kleine verlorene Schar
❌,Frei wie ein Albatros
✔️,Barfuß vor den Toren
✔️,Zuhause
✔️,Wir wählten den Sommer
✔️,Frühlingslied
❌,Wir wollen zu Lande ausfahren
✔️,Ore Ore
✔️,Die Moorsoldaten
❌,König Olav Tryggvason
✔️,Wo’s nur Felsen gibt
✔️,Ye Jacobites
✔️,Ballade von der gemeinsamen Zeit
❌,Zogen vieler Straßen
❌,Zoobi Doobi
❌,Rumänien-Lied
